Evaluacion,Grado10,Grado20,Grado30,Grado40,Grado50,Grado60,Grado70,Grado80,Grado90,Grado100,Grado110,Grado120,Grado130,Grado140,Grado150,Grado160,Grado170,Grado180,Grado190,Grado200,Grado210,Grado220,Grado230,Grado240,Grado250,Grado260,Grado270,Grado280,Grado290,Grado300,Grado310,Grado320,Grado330,Grado340,Grado350,Grado360,Grado370,Grado380,Grado390,Grado400,Grado410,Grado420,Grado430,Grado440,Grado450,Grado460,Grado470,Grado480,Grado490,Grado500,Grado510,Grado520,Grado530,Grado540,Grado550,Grado560,Grado570,Grado580,Grado590,Grado600,Grado610,Grado620,Grado630,Grado640,Grado650,Grado660,Grado670,Grado680,Grado690,Grado700,Grado710,Grado720,Grado730,Grado740,Grado750,Grado760,Grado770,Grado780,Grado790,Grado800,Grado810,Grado820,Grado830,Grado840,Grado850,Grado860,Grado870,Grado880,Grado890,Grado900,Grado910,Grado920,Grado930,Grado940,Grado950,Grado960,Grado970,Grado980,Grado990,Grado1000
1,1200,1300,2900,4000,6900,8600,17400,14300,14500,22200,28100,49000,39700,46200,55500,55700,60300,90900,94600,95600,105500,108700,128300,123900,142800,161800,153700,177200,205800,202100,207900,297600,269800,224300,235700,360000,276900,274900,611500,652600,643200,670600,792300,592500,559700,644100,626600,738500,891500,1.0205e+06,937100,866400,813900,1.2035e+06,927500,1.1267e+06,1.4124e+06,1.2471e+06,1.9478e+06,1.2358e+06,1.3017e+06,1.2659e+06,863500,934100,839200,917500,879500,895200,1.4852e+06,1.7363e+06,1.0512e+06,970200,1.1544e+06,1.0638e+06,1.0222e+06,1.1212e+06,1.2041e+06,1.116e+06,1.2014e+06,1.1385e+06,1.0798e+06,1.2415e+06,1.7725e+06,1.308e+06,1.2727e+06,1.5124e+06,1.266e+06,1.5077e+06,1.5605e+06,1.4621e+06,1.3593e+06,1.521e+06,1.5621e+06,1.7749e+06,2.0965e+06,1.9075e+06,1.597e+06,1.5568e+06,1.8669e+06,1.9518e+06
2,500,900,1800,3000,4500,6300,8600,10900,13700,15900,36300,25600,26700,30700,35200,39600,44800,50000,63600,63700,70400,77300,86800,115000,100300,118000,120600,148600,136400,145300,154700,169900,170600,185300,196200,203300,219300,242900,255600,322800,350900,397400,362900,429300,435100,481600,457300,467700,562600,603900,594300,474600,461200,474300,567100,521700,519900,542500,561600,576200,733300,812200,758100,679100,721700,1.1896e+06,900200,821900,786700,773000,808900,818100,860800,881400,924000,975900,974000,1.0803e+06,1.0695e+06,1.1716e+06,1.0759e+06,1.0906e+06,1.115e+06,1.1504e+06,1.1668e+06,1.1979e+06,1.3122e+06,1.2678e+06,1.326e+06,1.5988e+06,1.3531e+06,1.376e+06,1.4019e+06,1.4077e+06,1.4602e+06,1.4746e+06,1.5314e+06,1.838e+06,1.6595e+06,1.7241e+06
3,300,800,1600,2600,4100,5800,7900,10100,12900,15800,19000,22500,26300,30400,34900,45900,44700,50000,55800,61900,73200,74900,82100,89300,101400,105100,113400,128000,144100,141800,200500,226500,170900,249300,193100,204100,265700,233800,253800,263600,264700,283400,295900,310200,323900,338300,353700,368800,387000,400100,420100,433400,449300,470400,484000,495400,583900,660300,638400,596700,640100,632100,639300,661600,682200,713900,725900,745800,767300,791100,797100,827900,862900,970200,915200,938900,957700,982300,1.0077e+06,1.0344e+06,1.0375e+06,1.0853e+06,1.1117e+06,1.128e+06,1.167e+06,1.3268e+06,1.2569e+06,1.3053e+06,1.2822e+06,1.3119e+06,1.341e+06,1.3772e+06,1.3996e+06,1.4293e+06,1.4769e+06,1.4958e+06,1.6815e+06,1.566e+06,1.7003e+06,1.5941e+06
4,300,800,1600,2700,4100,5800,7900,10200,12900,15800,18900,22400,26300,30400,34900,45100,44600,50100,55800,61900,68400,84400,83200,92300,100200,116000,113600,187300,211700,166100,161000,161200,190600,191000,197900,207500,225200,226900,239100,256300,268800,282000,295800,305400,323900,338500,367800,368500,383700,399700,417700,432600,453100,467900,530300,508000,538100,575100,561400,576200,596100,619200,638800,661600,680200,700900,722400,761000,847700,793900,811000,833900,1.1105e+06,1.1358e+06,940600,942700,954000,984400,988700,1.0336e+06,1.08e+06,1.0858e+06,1.1119e+06,1.1436e+06,1.1554e+06,1.6357e+06,1.2839e+06,1.2502e+06,1.2768e+06,1.3044e+06,1.5152e+06,1.4088e+06,1.3847e+06,1.4369e+06,1.4722e+06,1.494e+06,1.6597e+06,1.5464e+06,1.613e+06,1.6177e+06
5,300,800,5900,2600,4000,5600,7600,10200,12800,15800,19100,32900,26500,30400,42700,39600,44700,50100,55900,63000,69400,80200,87300,112800,108200,105200,113600,122800,141300,147900,154700,169900,170500,183500,206300,203700,221800,238900,250200,284800,264600,285500,299000,314700,319600,338300,353200,368200,384000,401900,416100,432200,453700,650600,575200,519200,521800,542200,561100,577500,600800,622100,638800,659700,680500,701900,722400,744700,767400,788500,817700,840500,886700,857300,908900,975200,959100,980400,1.1289e+06,1.0542e+06,1.0625e+06,1.0866e+06,1.1136e+06,1.1647e+06,1.5507e+06,1.2538e+06,1.279e+06,1.2501e+06,1.2557e+06,1.2925e+06,1.3305e+06,1.3635e+06,1.3788e+06,1.4222e+06,1.5031e+06,1.607e+06,1.6762e+06,1.5522e+06,1.5718e+06,1.6057e+06
6,300,700,2000,2700,4100,5900,8500,10500,13200,24000,19000,22400,26300,30500,34900,39600,44600,55600,55800,69500,68500,86800,90600,89700,97100,110700,113500,148200,142900,144700,154600,160200,174700,181100,197300,203400,221600,230900,239100,251700,268700,281900,295500,309400,325700,338100,353000,368900,385000,399900,416000,436100,470700,502900,595800,517100,535500,538200,568100,582100,599200,618800,636200,660300,680200,701100,723800,747700,766000,788700,896000,935700,958800,884800,885100,934600,957600,980100,1.0042e+06,1.0158e+06,1.0599e+06,1.0866e+06,1.0909e+06,1.2125e+06,1.1854e+06,1.2107e+06,1.2219e+06,1.2851e+06,1.2791e+06,1.308e+06,1.3337e+06,1.342e+06,1.3987e+06,1.4285e+06,1.4999e+06,1.6783e+06,1.5131e+06,1.545e+06,1.5769e+06,1.6082e+06
7,300,700,1500,2700,4000,5700,7900,10200,12800,15700,18900,22400,26300,35400,35900,41000,52400,50200,56200,62200,68500,83500,101100,90000,100200,108600,122500,126100,131500,145100,150400,164400,171600,194000,202400,203700,219400,231300,239500,258100,269000,282300,296900,305600,319900,334200,349100,376800,385100,407200,418400,432500,454600,468200,489400,503200,523600,538200,560100,577600,599600,620400,639600,661100,679800,700600,740100,745100,767000,793400,822300,924000,860100,902200,912500,933600,955100,983500,1.0097e+06,1.0464e+06,1.061e+06,1.086e+06,1.1001e+06,1.1479e+06,1.2086e+06,1.1951e+06,1.2222e+06,1.2534e+06,1.2786e+06,1.2904e+06,1.3378e+06,1.3705e+06,1.3729e+06,1.4325e+06,1.4644e+06,1.5025e+06,1.5079e+06,1.5341e+06,1.5779e+06,3.4065e+06
8,300,700,1500,2700,4100,5900,7900,10300,12900,15800,19100,22500,26300,30600,34900,49400,46400,62000,58100,64000,71300,77300,91100,89500,97200,109700,113500,122200,135400,140600,154300,160200,174600,181200,196200,207400,215000,263600,245200,251800,264700,288500,307000,319000,333400,338200,353300,368500,393800,404600,416500,432800,459500,480200,515900,520400,523200,542000,556700,579900,599200,850900,651700,659300,680000,703700,722300,744000,766200,791900,816400,894100,883400,883700,914800,939000,957600,982900,1.0083e+06,1.0349e+06,1.0613e+06,1.087e+06,1.1135e+06,1.1398e+06,1.1718e+06,1.1938e+06,1.2235e+06,1.2578e+06,1.2832e+06,1.3118e+06,1.3403e+06,1.3455e+06,1.3953e+06,1.4242e+06,1.5149e+06,1.4947e+06,1.5661e+06,1.5572e+06,1.581e+06,1.5984e+06
9,300,800,1600,2700,4100,5700,7800,10500,13100,16000,19300,27000,26800,31100,35400,40300,45400,50700,60600,62500,68800,75700,86800,90000,104700,105700,117000,132700,135200,145500,156000,171800,175700,185700,192100,207500,226900,226900,243500,255800,268700,278100,291500,309500,323900,338200,353100,368200,383800,400000,418300,432200,449300,466300,510400,528500,551200,541900,556900,579900,599000,615100,638400,659800,679900,701100,722300,733500,769700,788500,811000,838500,1.0535e+06,893600,915500,929400,953600,982200,1.0082e+06,1.0119e+06,1.0374e+06,1.0942e+06,1.1139e+06,1.1437e+06,1.183e+06,1.2319e+06,1.2353e+06,1.2502e+06,1.2738e+06,1.3047e+06,1.3204e+06,1.3705e+06,1.3885e+06,1.4291e+06,1.4914e+06,1.509e+06,1.5273e+06,1.542e+06,1.5766e+06,1.602e+06
10,400,800,1500,2700,4100,9900,7700,10200,12900,15800,19000,22500,26300,30500,34900,44100,44700,50200,55900,61900,72600,75100,82100,98000,115400,106100,135400,129900,145900,159800,177100,160100,175100,181200,196300,203500,215000,231000,249800,251800,279000,278100,298900,329300,341600,338300,353200,368300,383800,403600,416100,432700,452000,481100,489300,501600,569500,539400,557500,579700,595200,615600,638800,660200,679600,701100,723400,744200,749300,823300,813300,838500,860000,892500,930700,935200,953800,978200,1.0072e+06,1.0333e+06,1.061e+06,1.0858e+06,1.1431e+06,1.1437e+06,1.1665e+06,1.198e+06,1.2174e+06,1.2577e+06,1.2831e+06,1.3135e+06,1.3399e+06,1.3452e+06,1.4106e+06,1.4317e+06,1.433e+06,1.4861e+06,1.6366e+06,1.5544e+06,1.5692e+06,1.594e+06
11,200,700,1500,2700,4100,10600,8100,10400,13100,16200,19700,23500,27400,30800,35200,46400,45000,50400,56300,62300,72900,75500,82600,89900,101900,105600,114000,122700,131700,145200,150700,165100,171000,185700,206600,208300,221500,238400,243800,251800,270700,282100,296300,309500,324100,339700,353300,368500,384400,400900,420000,433700,457500,536100,497900,516900,523400,538400,560900,579700,616500,619300,639100,659600,680300,701800,723300,773600,766300,792400,811200,834300,860800,889300,910200,933100,962300,986900,1.0078e+06,1.0347e+06,1.1402e+06,1.1523e+06,1.1132e+06,1.1386e+06,1.1465e+06,1.1972e+06,1.2026e+06,1.2538e+06,1.3984e+06,1.3081e+06,1.402e+06,1.3709e+06,1.3913e+06,1.4214e+06,1.4356e+06,1.4656e+06,1.5173e+06,1.6331e+06,1.5869e+06,1.6289e+06
12,700,1900,2000,3100,4200,5900,7900,10200,12700,15600,18900,22400,26300,30400,34900,39700,44700,54400,55900,61900,68300,75000,82200,89400,97200,110100,113600,122300,131300,140600,154400,160300,174700,181100,196400,207500,214900,236300,422500,259000,268900,282000,296500,313100,324000,338200,353100,368400,384000,400200,419700,432500,449200,470100,483900,501500,519200,541600,556800,579600,599700,615600,639100,660000,680700,701800,722500,743900,775500,788500,811100,837700,857600,885100,907300,906600,958400,991100,1.0926e+06,1.0347e+06,1.0596e+06,1.0856e+06,1.0953e+06,1.1405e+06,1.1667e+06,1.193e+06,1.2069e+06,1.2502e+06,1.2619e+06,1.4119e+06,1.3778e+06,1.3713e+06,1.4001e+06,1.4294e+06,1.4178e+06,1.4931e+06,1.4838e+06,1.5451e+06,1.6032e+06,1.6293e+06
13,300,800,1600,2700,4200,5900,8000,10500,13100,20400,19300,23000,27000,31100,35700,41700,44800,55700,56000,62000,68400,75100,86500,89500,97300,109900,113700,122300,135300,140600,154500,160300,175200,181300,196300,207600,215100,231900,243800,251900,269100,283600,298300,309600,323800,338500,365000,370200,384000,399800,419600,432600,449200,470000,483900,501600,523200,542200,557000,579900,607800,659000,654500,656800,677200,697400,774300,765000,766800,788800,793800,834000,866300,881100,908900,929100,957300,962800,1.0084e+06,1.0344e+06,1.064e+06,1.1071e+06,1.1185e+06,1.1389e+06,1.1344e+06,1.1909e+06,1.2176e+06,1.2534e+06,1.2752e+06,1.3115e+06,1.3173e+06,1.3478e+06,1.4136e+06,1.4339e+06,1.457e+06,1.4775e+06,1.5076e+06,1.5582e+06,1.5857e+06,1.6232e+06
14,300,800,1600,2800,4100,5900,7900,10200,12900,16700,19100,22700,26300,30800,34900,39600,44700,50200,55900,66800,68400,75100,82100,93600,97200,105300,119600,122300,136600,140500,150400,164600,177200,181200,198700,203500,215000,231200,245100,251800,264700,282300,295800,309400,323700,338300,353100,375200,410900,404500,416000,432900,449100,471400,491800,505500,519600,541800,558300,594700,597800,619000,640800,661800,682500,703000,723600,745900,786900,790900,788000,838600,857600,884800,952500,958800,960900,982800,1.0088e+06,1.0311e+06,1.0295e+06,1.0724e+06,1.116e+06,1.1441e+06,1.1685e+06,1.2032e+06,1.2545e+06,1.2618e+06,1.2858e+06,1.3078e+06,1.3375e+06,1.37e+06,1.3926e+06,1.4301e+06,1.476e+06,1.4988e+06,1.525e+06,1.5535e+06,1.5623e+06,1.6059e+06
15,400,800,1700,3200,4200,5800,7900,11300,13500,16200,19000,22400,26300,30400,35800,40200,55600,50200,59200,67100,69500,75900,82400,117100,97600,105200,120300,122400,135700,160500,150900,160300,176200,206700,192800,203700,215200,234100,316400,252300,272000,285300,291400,310200,323900,345000,389100,395500,389400,402700,420400,439800,455400,466400,488200,501900,521600,542900,557000,574600,601700,698100,630900,662700,682400,701200,774400,800200,998000,801000,811300,837100,862200,881600,921200,935200,960700,991000,1.0082e+06,1.0159e+06,1.3056e+06,1.1104e+06,1.1299e+06,1.14e+06,1.1689e+06,1.1814e+06,1.2264e+06,1.2543e+06,1.333e+06,1.3102e+06,1.3381e+06,1.4081e+06,1.4019e+06,1.4481e+06,1.4473e+06,1.5017e+06,1.5086e+06,1.5518e+06,1.5818e+06,1.644e+06
16,500,900,2000,2800,4300,6100,8200,10500,13200,16100,18900,22400,26200,30400,34900,45900,44700,50200,56600,62500,75500,75100,82300,89500,102600,105300,119800,122300,131300,144900,150300,165300,170600,186700,192100,203500,219200,227100,239200,256000,269400,282300,313500,305500,324300,363500,355900,407400,387700,415300,416000,433900,449100,466200,488600,509900,523800,542000,556900,581700,599400,617200,630600,694500,682700,700700,722800,813200,770700,793000,811300,836300,864600,882100,909100,933400,961900,1.008e+06,1.0091e+06,1.0342e+06,1.0621e+06,1.1683e+06,1.13e+06,1.1393e+06,1.1448e+06,1.1978e+06,1.222e+06,1.2541e+06,1.3008e+06,1.3031e+06,1.3401e+06,1.3483e+06,1.4077e+06,1.4299e+06,1.4615e+06,1.4759e+06,1.5019e+06,1.5278e+06,1.6162e+06,1.621e+06
17,300,1000,1600,2800,4200,5900,7900,12400,13200,16300,27200,23100,27100,31400,35900,41100,44700,57000,56900,62000,68400,75000,87700,89500,97200,111200,113600,122200,135700,140600,154900,160300,175100,181200,196600,212200,221200,226900,245200,256100,269100,282300,291600,305400,323800,338900,353300,368500,384300,401700,440500,432500,453700,466500,483800,505000,519600,542100,561400,576300,603300,624300,639000,659800,680400,700800,722900,745400,765900,854900,841400,834900,861400,881700,909300,954500,954800,958900,1.0086e+06,1.0362e+06,1.0806e+06,1.065e+06,1.2302e+06,1.138e+06,1.1704e+06,1.2057e+06,1.2032e+06,1.3199e+06,1.3775e+06,1.3124e+06,1.3304e+06,1.3584e+06,1.3808e+06,1.5267e+06,1.4595e+06,1.4842e+06,1.4977e+06,1.5272e+06,1.5825e+06,1.6079e+06
18,300,800,1600,2600,4000,5800,7800,10200,12800,15600,19000,22500,26300,30500,40100,50700,68300,51100,63300,63700,70400,77300,90400,89500,97100,109500,113600,122300,135500,140600,154800,160200,174700,181200,196300,203400,215100,231500,243800,251700,269000,282200,296200,309900,324300,338500,353100,368500,383900,400000,416000,436200,458300,499400,495200,502900,523500,541000,561500,576200,600900,619200,800400,659900,682400,702100,722600,746400,765800,814100,866300,869100,905700,887500,905300,931100,959000,982600,1.0099e+06,1.0418e+06,1.0618e+06,1.0867e+06,1.1194e+06,1.3047e+06,1.1975e+06,1.1642e+06,1.2159e+06,1.2514e+06,1.2824e+06,1.3071e+06,1.3483e+06,1.3823e+06,1.3964e+06,1.4543e+06,1.6697e+06,1.4901e+06,1.523e+06,1.5559e+06,1.5901e+06,1.6092e+06
19,400,800,1500,2600,4100,5800,7800,10100,12700,15800,19000,22500,26300,36100,34800,39600,44700,60800,63200,62000,68700,75000,89000,89500,97100,109200,113500,122200,131100,140600,154500,160100,175500,181000,198000,207900,215000,238800,243600,256000,264700,283300,296000,310700,323800,338900,353100,368500,383600,399600,428900,432400,469000,472400,483600,501500,519300,541800,556700,583000,599400,615400,639000,659400,680200,700900,722800,745700,791100,790000,811000,934700,861700,884400,909400,912400,954900,983900,1.0079e+06,1.0334e+06,1.0382e+06,1.0989e+06,1.113e+06,1.117e+06,1.1709e+06,1.1941e+06,1.2256e+06,1.2174e+06,1.2755e+06,1.3137e+06,1.3404e+06,1.3446e+06,1.4209e+06,1.4304e+06,1.4869e+06,1.7504e+06,1.5838e+06,1.5401e+06,1.5671e+06,1.6136e+06
20,300,800,1600,2800,4100,5900,7900,10300,12800,15700,19000,22500,26300,30500,38900,40100,44700,56700,56000,62000,68300,75100,82200,89500,97200,109400,113600,122300,136300,140600,156000,160300,175200,181200,196500,203300,219300,231200,239200,255900,269000,282400,300700,308400,324700,338400,353400,368800,384000,412200,419500,439300,462900,481800,488900,501400,523000,631300,563800,597300,599600,618600,635400,659400,680700,701300,722100,744100,765600,791700,815400,833900,862000,881100,909300,936900,1.0449e+06,979700,1.0085e+06,1.0049e+06,1.0559e+06,1.1138e+06,1.1741e+06,1.1406e+06,1.1701e+06,1.1692e+06,1.2159e+06,1.2555e+06,1.2915e+06,1.3116e+06,1.3412e+06,1.3541e+06,1.3996e+06,1.4297e+06,1.4408e+06,1.4908e+06,1.5234e+06,1.7744e+06,1.5889e+06,1.6088e+06
21,300,700,1700,2800,11900,6100,8300,10600,13400,16300,19300,22700,26300,30400,35000,40200,44800,50200,55900,62000,73400,75100,82200,89600,102700,105300,113700,126500,131400,145100,150300,164500,170600,185900,192200,207600,224000,238700,245200,251700,270900,282900,296200,309500,323900,338600,353400,372800,384500,400700,416900,437400,449900,467100,487900,505800,523700,538100,560800,580600,595900,625400,667100,701300,701300,701400,722800,761000,770100,790100,811400,838200,858400,886100,905800,933900,931700,979900,1.0223e+06,1.0344e+06,1.0431e+06,1.071e+06,1.1131e+06,1.1386e+06,1.1514e+06,1.1992e+06,1.1953e+06,1.2544e+06,1.2557e+06,1.3112e+06,1.385e+06,1.441e+06,1.4001e+06,1.417e+06,1.4757e+06,1.4904e+06,1.5037e+06,1.526e+06,1.5634e+06,1.6949e+06
22,300,800,1600,2700,4200,5800,8000,10300,12900,15900,19100,31000,26400,30500,34900,39700,44800,50200,60900,62000,68400,75100,87400,89600,97300,109600,113600,122300,135500,140600,154500,160200,174700,184600,192100,208700,219800,227100,243900,256400,268900,278000,291500,309500,324100,338800,355000,378600,434800,415100,429400,442300,450500,471300,483800,501500,526900,541900,556800,580200,599000,615600,639700,659300,679900,701200,723700,755500,3.4437e+06,792200,811300,837600,858100,884800,905700,933600,957800,978600,978900,1.0359e+06,1.2863e+06,1.0881e+06,1.1217e+06,1.1429e+06,1.1669e+06,1.1936e+06,1.1988e+06,1.2502e+06,1.2554e+06,1.375e+06,1.3403e+06,1.4617e+06,1.3992e+06,1.4313e+06,1.4509e+06,1.471e+06,1.5005e+06,1.5467e+06,1.5634e+06,1.6176e+06
23,300,800,1500,2700,4100,5800,7900,10100,12800,20100,20000,29500,26600,30500,34900,46600,44600,50100,55800,61900,73100,75000,82000,89400,101500,105200,113600,126400,131300,144800,150300,164300,170500,185400,192200,207600,219000,226900,243200,256300,269100,278000,295800,316500,320600,348700,375700,368200,384900,399700,415700,432500,500100,469000,488600,501700,523300,538200,560600,576600,599000,619600,638800,659600,680800,702500,722500,745000,766200,788500,816500,821200,860300,890800,907300,933300,957300,982100,1.0118e+06,1.0207e+06,1.0607e+06,1.0857e+06,1.0814e+06,1.12e+06,1.258e+06,1.2168e+06,1.2503e+06,1.2255e+06,1.2826e+06,1.2742e+06,1.3313e+06,1.3426e+06,1.4007e+06,1.4088e+06,1.4377e+06,1.496e+06,1.5271e+06,1.5566e+06,1.5639e+06,1.6391e+06
24,300,800,1600,2700,4100,5800,7900,10200,12900,15800,19000,22500,26300,30400,34800,39600,44800,50100,60300,61900,68400,75000,86600,89500,97200,109800,113600,122300,135300,140700,154400,160200,174800,181300,197000,203400,219400,231000,243400,251600,269200,282100,295600,309700,323600,342800,353100,368300,383700,399600,416600,436400,449300,466400,487700,503800,523400,539800,562700,580200,598700,619800,639300,660600,706200,775200,970700,807900,783100,809400,891800,872700,869100,902500,935600,1.1877e+06,1.0298e+06,1.0759e+06,1.1326e+06,1.0871e+06,1.0646e+06,1.0895e+06,1.1315e+06,1.1467e+06,1.2145e+06,1.2075e+06,1.2322e+06,1.439e+06,1.3243e+06,1.3383e+06,1.8143e+06,1.8648e+06,1.8179e+06,1.4394e+06,1.7459e+06,1.6811e+06,1.8464e+06,1.6306e+06,1.599e+06,1.613e+06
25,400,800,1500,2700,4500,6400,8000,10300,12900,15700,18900,30900,26300,34800,34900,39700,44700,50200,56000,62000,68400,80000,93600,89500,97100,111300,113700,123100,167600,153700,176600,176500,186900,253000,234300,254900,215000,227000,269600,258400,264900,284300,295800,311100,323600,338500,353100,536400,394400,406400,416100,436400,450900,466300,489700,501800,586900,592400,586600,582700,635700,657000,680300,685800,682200,704300,723300,746100,766400,788700,815500,877700,920000,971000,949300,1.0458e+06,1.2627e+06,1.0966e+06,1.0219e+06,1.019e+06,1.0601e+06,1.0862e+06,1.1285e+06,1.1353e+06,1.2691e+06,1.2914e+06,1.2235e+06,1.2556e+06,1.2856e+06,1.3087e+06,1.3375e+06,1.3694e+06,1.4016e+06,1.4272e+06,1.514e+06,1.5944e+06,1.5287e+06,1.8658e+06,1.9111e+06,1.6799e+06
26,400,1200,1600,3000,4600,6400,8600,11100,12800,15800,26500,22700,26300,30400,34800,39600,44600,72700,56700,83100,75300,82300,86800,97900,111500,112100,163600,194900,205000,150100,159700,160300,191900,182900,192100,217300,222000,249000,309400,259500,307100,296200,331100,337400,327400,338400,353500,368500,387500,496500,537200,447300,455400,467600,487800,510600,734700,728900,663100,696900,786900,731400,656800,663000,679900,935600,749700,760400,780200,794300,888700,911700,994600,943200,932400,1.0426e+06,954300,983200,1.0898e+06,1.1155e+06,1.0605e+06,1.0976e+06,1.254e+06,1.5968e+06,1.6868e+06,1.1992e+06,1.2225e+06,1.257e+06,1.3709e+06,1.3419e+06,1.393e+06,1.8452e+06,1.5158e+06,1.5781e+06,1.4515e+06,1.57e+06,2.0637e+06,1.7304e+06,1.8558e+06,1.7631e+06
27,300,900,2000,3200,4300,6300,8300,10500,13100,15900,19400,22800,26500,30900,35000,39700,44800,48800,56400,62000,68400,75600,82100,106600,97800,112100,113700,185200,135800,148600,153800,187300,235600,350400,247000,247900,254000,253600,282900,259400,278400,282700,297300,309800,326200,338400,353500,372900,385900,401000,416200,460300,463300,512300,500500,505800,541200,572600,797100,638900,659300,756200,693900,662900,701600,723100,733600,766100,782300,920100,859000,1.1197e+06,901200,1.1e+06,957500,930000,958600,990700,1.0122e+06,1.0338e+06,1.0637e+06,1.4035e+06,1.1262e+06,1.1965e+06,1.247e+06,1.2453e+06,1.2639e+06,1.2618e+06,1.297e+06,1.3181e+06,1.4156e+06,1.4894e+06,1.6736e+06,1.6375e+06,1.5636e+06,1.6248e+06,1.5295e+06,1.945e+06,1.625e+06,1.6234e+06
28,1300,800,1600,2800,4400,6200,10900,10900,13800,17400,19900,24400,37400,33400,37900,42100,56100,51700,57700,69000,75500,75100,82200,89600,104500,106900,113600,122500,131500,146100,150400,165900,170500,185800,192200,207900,215600,249700,250200,262500,271200,285700,300800,322100,362300,344600,353800,410000,451400,426800,443600,432900,452800,480200,490500,521000,519700,542400,559400,609900,652200,616700,674000,749400,705200,706900,771400,755700,766300,797400,892300,842700,870700,888900,1.0305e+06,970200,1.0309e+06,1.1019e+06,1.0501e+06,1.042e+06,1.1271e+06,1.1427e+06,1.1215e+06,1.1416e+06,1.1671e+06,1.2577e+06,1.227e+06,1.2452e+06,1.3523e+06,1.3733e+06,1.3684e+06,1.4344e+06,1.4703e+06,1.4398e+06,1.4734e+06,1.5082e+06,1.5204e+06,1.5483e+06,1.5861e+06,1.621e+06
29,300,700,1600,2800,4300,6300,8100,10500,13200,16100,19000,22500,26200,30400,34900,39500,44700,50700,55800,67400,68400,75700,82500,96800,97300,105200,120200,122900,131300,149500,157700,160300,177800,185300,192200,207800,215000,227000,261300,291700,296300,293500,315300,310800,327000,334100,353100,370000,384200,400700,416200,432400,459300,470900,488300,505500,521000,544900,558800,580700,599100,615300,665100,679700,705300,710800,724500,745600,767000,791100,827900,834400,858100,885100,913800,932600,960100,1.0184e+06,1.0313e+06,1.0343e+06,1.0371e+06,1.0865e+06,1.1901e+06,1.1442e+06,1.1709e+06,1.1926e+06,1.2073e+06,1.2525e+06,1.2826e+06,1.3096e+06,1.3421e+06,1.4182e+06,1.4211e+06,1.4251e+06,1.4431e+06,1.491e+06,1.5156e+06,1.5443e+06,1.5639e+06,1.6102e+06
30,300,800,1600,2700,4100,8700,7900,10200,12800,15700,19100,22700,33700,30400,34800,39700,44700,50200,55900,61900,68400,73900,89800,89400,97900,105300,123000,128000,131200,145000,150300,155700,170500,181100,197200,203500,215100,231300,253200,263300,271600,290600,295700,313900,324800,344200,366100,368700,386900,399900,416100,432500,449300,466500,484000,505700,519700,550600,563900,593500,601400,641300,665100,672300,722300,703800,722400,743800,769800,788300,811400,837500,857100,911100,909800,933100,993600,1.0362e+06,1.0088e+06,1.0351e+06,1.0612e+06,1.0858e+06,1.1142e+06,1.1396e+06,1.1713e+06,1.1982e+06,1.2277e+06,1.2702e+06,1.3178e+06,1.3231e+06,1.3413e+06,1.3552e+06,1.4028e+06,1.4317e+06,1.4581e+06,1.4701e+06,1.508e+06,1.6771e+06,1.6464e+06,1.6206e+06
31,300,800,1600,3100,4200,5800,7800,10200,12900,15700,19200,22600,26400,30500,35000,39700,44100,50200,62800,61900,68400,75100,83800,94800,97200,105200,118200,122300,135800,143500,150200,197400,176000,275400,202900,211600,228500,246800,243500,251900,264900,282300,295700,319200,323900,338300,353100,368200,383800,397000,417800,432700,449100,466600,511200,507300,519600,542600,600000,576200,599200,618800,641200,655500,679700,701000,722100,747500,766300,788800,825700,836500,857100,893300,911500,928600,957200,981800,984800,1.0333e+06,1.0593e+06,1.0543e+06,1.099e+06,1.1353e+06,1.1591e+06,1.2044e+06,1.2254e+06,1.2526e+06,1.2621e+06,1.3042e+06,1.3251e+06,1.3476e+06,1.4048e+06,1.4071e+06,1.4358e+06,1.5291e+06,1.5281e+06,1.5525e+06,1.5687e+06,1.6026e+06
32,200,800,1500,2600,4100,5800,7800,10500,12800,15900,26500,29100,43700,38500,48500,40600,47500,50200,66000,73000,79600,77800,82600,89900,102900,105700,114300,122700,131700,140700,156200,160400,175000,181200,196500,207700,215000,236500,247000,257100,269000,278100,291800,309600,323700,364700,343800,370500,385000,399800,416100,432900,453300,466400,487400,491300,561100,545100,558300,579900,599000,615200,639100,659400,726800,702700,722600,744000,766500,788600,815900,834100,847100,890900,905500,929600,958100,982600,1.0466e+06,1.0549e+06,1.0615e+06,1.0857e+06,1.1124e+06,1.1195e+06,1.166e+06,1.1704e+06,1.2223e+06,1.2498e+06,1.2783e+06,1.2935e+06,1.3122e+06,1.37e+06,1.3953e+06,1.4128e+06,1.4581e+06,1.4834e+06,1.5177e+06,1.5717e+06,1.5827e+06,1.6081e+06
