Evaluacion,Grado10,Grado20,Grado30,Grado40,Grado50,Grado60,Grado70,Grado80,Grado90,Grado100,Grado110,Grado120,Grado130,Grado140,Grado150,Grado160,Grado170,Grado180,Grado190,Grado200,Grado210,Grado220,Grado230,Grado240,Grado250,Grado260,Grado270,Grado280,Grado290,Grado300,Grado310,Grado320,Grado330,Grado340,Grado350,Grado360,Grado370,Grado380,Grado390,Grado400,Grado410,Grado420,Grado430,Grado440,Grado450,Grado460,Grado470,Grado480,Grado490,Grado500,Grado510,Grado520,Grado530,Grado540,Grado550,Grado560,Grado570,Grado580,Grado590,Grado600,Grado610,Grado620,Grado630,Grado640,Grado650,Grado660,Grado670,Grado680,Grado690,Grado700,Grado710,Grado720,Grado730,Grado740,Grado750,Grado760,Grado770,Grado780,Grado790,Grado800,Grado810,Grado820,Grado830,Grado840,Grado850,Grado860,Grado870,Grado880,Grado890,Grado900,Grado910,Grado920,Grado930,Grado940,Grado950,Grado960,Grado970,Grado980,Grado990,Grado1000
818,700,1600,3500,5100,7500,10300,13700,17500,22100,27000,32800,34800,45000,64300,59300,67300,76000,85300,95000,114300,116100,127600,139700,159700,165200,179000,200300,207900,223200,239000,255400,279300,290000,314800,336500,345700,372500,387400,407400,476000,560900,488800,512200,641300,561000,578900,601400,626000,652400,679300,707000,737500,775900,793300,826900,861100,883300,920800,953000,979100,1.0184e+06,1.0522e+06,1.0861e+06,1.1484e+06,1.1506e+06,1.1925e+06,1.2299e+06,1.2672e+06,1.3031e+06,1.413e+06,1.5403e+06,1.5773e+06,1.6433e+06,1.4996e+06,1.5481e+06,1.583e+06,1.6232e+06,1.6724e+06,1.7142e+06,1.7576e+06,1.8041e+06,1.8469e+06,1.9671e+06,2.3726e+06,2.3153e+06,2.2694e+06,2.5752e+06,2.7324e+06,2.7444e+06,2.746e+06,2.7624e+06,2.642e+06,2.743e+06,2.7683e+06,3e+06,2.9687e+06,3.2498e+06,3.0628e+06,3.175e+06,3.2368e+06
819,900,2200,3700,6100,9300,12700,17100,22000,27500,33600,40700,48400,56100,64800,74100,84300,95200,106500,118900,131700,145400,160400,141400,168700,166900,180500,207800,208200,232000,239000,255500,279700,290000,308000,333500,345800,372500,392800,406600,435000,456800,479500,502600,526000,571600,580600,601300,627000,652900,679500,707200,742100,763800,792900,829600,852600,889500,914700,952900,964400,1.0535e+06,1.1032e+06,1.1375e+06,1.1228e+06,1.1578e+06,1.1918e+06,1.2279e+06,1.2711e+06,1.3017e+06,1.3373e+06,1.3806e+06,1.4239e+06,1.4584e+06,1.5039e+06,1.5387e+06,1.5863e+06,1.6272e+06,1.6705e+06,1.7205e+06,1.7509e+06,1.8085e+06,1.8459e+06,1.892e+06,1.9373e+06,1.9829e+06,2.0318e+06,2.0772e+06,2.1311e+06,2.1794e+06,2.2221e+06,2.2778e+06,2.3367e+06,2.3821e+06,2.4298e+06,2.4826e+06,2.5402e+06,2.5867e+06,2.6823e+06,3.2014e+06,2.7658e+06
820,600,1900,2900,4900,7300,10200,13600,17600,43300,28100,33300,38900,45400,52000,59700,67500,76100,114800,95400,105500,116300,142000,139600,152400,165300,178900,193100,216700,223300,271400,265700,273400,299100,309000,335700,422800,469600,588000,520700,536000,574800,605500,632800,666200,692100,722400,753800,786200,819100,852600,961200,820100,774900,780800,817000,876200,877900,931300,955500,987100,1.0237e+06,1.0525e+06,1.0864e+06,1.1149e+06,1.1603e+06,1.1922e+06,1.2342e+06,1.2649e+06,1.3028e+06,1.4116e+06,1.4386e+06,1.5509e+06,1.7306e+06,1.6458e+06,1.5554e+06,1.6015e+06,1.75e+06,1.8644e+06,1.7758e+06,1.8372e+06,1.8032e+06,1.8461e+06,1.895e+06,1.9463e+06,1.9891e+06,2.0291e+06,2.0771e+06,2.1252e+06,2.202e+06,2.223e+06,2.2734e+06,2.3299e+06,2.3794e+06,2.4351e+06,2.4937e+06,2.5351e+06,2.5858e+06,2.6402e+06,2.696e+06,2.7665e+06
821,500,1400,2900,4700,7100,10000,13400,17300,21700,26800,32300,38300,44900,52000,59400,67600,76200,101300,95700,105900,130000,127600,139600,163800,165300,178900,202800,207800,237400,238900,263400,272500,297100,308100,333700,353800,365500,392500,413800,428100,457200,479400,502700,526400,550200,575000,600000,626800,653700,691500,713600,735200,764200,798700,828700,852700,883200,921400,946800,985200,1.0184e+06,961300,1.0926e+06,1.1219e+06,1.164e+06,1.192e+06,1.2282e+06,1.2651e+06,1.3023e+06,1.3405e+06,1.385e+06,1.4209e+06,1.5521e+06,1.5031e+06,1.5371e+06,1.5882e+06,1.6266e+06,1.6646e+06,1.6979e+06,1.7653e+06,1.8031e+06,1.844e+06,1.8893e+06,1.9354e+06,1.9781e+06,2.0192e+06,1.9155e+06,2.1325e+06,2.3884e+06,2.5809e+06,3.5604e+06,2.5422e+06,2.6695e+06,2.8739e+06,2.58e+06,3.1498e+06,3.1558e+06,3.3052e+06,3.399e+06,3.4205e+06
822,900,2000,4100,6700,9700,10800,14700,18000,22000,27000,32600,39800,45700,52400,59500,78600,76100,85300,95200,105300,125800,127800,139700,152200,174300,179000,193100,215500,223100,208000,266500,287400,290100,317100,326500,353100,372800,385800,413600,472000,459300,480600,504000,527200,551700,575700,601200,626800,685500,688700,710100,736400,771000,793700,829600,858200,891400,916000,948100,986400,1.0192e+06,1.295e+06,1.4553e+06,1.3968e+06,1.4473e+06,1.2382e+06,1.4135e+06,1.4823e+06,1.5057e+06,1.4118e+06,1.3804e+06,1.4105e+06,1.4641e+06,1.4978e+06,1.5443e+06,1.5886e+06,1.6219e+06,1.6709e+06,1.7113e+06,1.8169e+06,1.8027e+06,1.8486e+06,1.8979e+06,1.9383e+06,1.9851e+06,2.1852e+06,2.3113e+06,2.3892e+06,2.5367e+06,2.3969e+06,2.6572e+06,2.7033e+06,2.6447e+06,2.8171e+06,2.6413e+06,2.6716e+06,2.67e+06,2.6705e+06,2.9952e+06,2.7666e+06
823,700,1800,3400,5000,7400,10200,13700,17600,21800,26900,19800,39600,59900,52400,59700,67500,76100,85300,128000,105400,116300,127600,149800,152200,165300,187800,193300,208000,231300,239000,263500,272500,297900,308100,334600,353500,365500,511600,535000,444500,609100,592900,638200,663400,690200,721100,752700,751800,817900,851200,852400,934400,781100,802000,831100,978500,885200,921200,946800,985000,1.0208e+06,1.0519e+06,1.1728e+06,1.1156e+06,1.1573e+06,1.1927e+06,1.229e+06,1.2663e+06,1.4592e+06,1.3516e+06,1.3824e+06,1.5746e+06,1.7931e+06,1.8998e+06,1.7847e+06,1.9311e+06,1.9789e+06,2.0323e+06,1.7866e+06,1.8665e+06,2.0926e+06,2.2255e+06,2.2909e+06,2.401e+06,2.4292e+06,2.4744e+06,2.7396e+06,2.6676e+06,2.7295e+06,2.6723e+06,2.6061e+06,2.7286e+06,2.7559e+06,2.68e+06,3.1381e+06,3.2221e+06,2.9404e+06,3.1821e+06,3.0925e+06,3.2334e+06
824,900,1700,3300,5000,7400,10200,8500,18400,22500,27100,32600,38600,44900,51900,59400,67500,75900,85100,95000,105500,125400,127500,139700,152300,165200,178900,200400,207900,223100,246200,255400,279600,289900,315200,326600,352900,379900,385700,414700,435500,454700,479600,495900,519300,554900,631900,603200,627100,653400,679900,707800,735900,764500,793300,823600,860300,885100,922300,941500,988500,1.0122e+06,1.0521e+06,1.0866e+06,1.1243e+06,1.1562e+06,1.1913e+06,1.2279e+06,1.2683e+06,1.2945e+06,1.3472e+06,1.3805e+06,1.42e+06,1.4637e+06,1.4974e+06,1.5441e+06,1.5892e+06,1.6219e+06,1.7014e+06,1.7104e+06,1.7593e+06,1.8986e+06,2.2368e+06,2.3662e+06,2.5331e+06,2.5027e+06,2.5538e+06,2.6205e+06,2.6558e+06,2.6314e+06,2.6805e+06,2.8617e+06,2.8811e+06,2.838e+06,2.726e+06,3.1694e+06,3.2455e+06,3.2372e+06,3.3104e+06,3.444e+06,3.4587e+06
825,700,2000,3500,5800,8900,12300,16800,22100,27900,34000,40900,62500,57500,80100,61600,92600,102600,107200,136200,131800,145200,144200,143200,166800,208500,180700,207900,209600,238600,239900,267500,272500,297300,308200,335600,345800,379400,386700,416500,440200,458000,472600,495500,527400,551300,580800,619400,741700,666600,689300,708400,741300,780100,870300,838900,854900,890000,919200,949700,985800,1.0186e+06,1.0541e+06,1.0863e+06,1.1475e+06,1.1499e+06,1.1919e+06,1.2278e+06,1.2679e+06,1.3025e+06,1.3401e+06,1.386e+06,1.4215e+06,1.447e+06,1.5045e+06,1.5445e+06,1.5803e+06,1.6224e+06,1.7004e+06,1.7093e+06,1.8224e+06,1.8032e+06,1.8471e+06,1.8981e+06,1.937e+06,1.9883e+06,2.0357e+06,2.0853e+06,2.1313e+06,2.1742e+06,2.229e+06,2.2793e+06,2.3351e+06,2.3734e+06,2.4308e+06,2.4832e+06,2.5342e+06,2.588e+06,2.6498e+06,2.7e+06,2.75e+06
826,500,1400,2800,4600,7000,9900,13400,17300,21900,26900,32200,38300,44800,51800,59400,69500,76800,85800,106200,105800,123100,128300,113400,153400,165800,179500,204900,208500,231200,239600,256200,273000,290900,308700,334200,346600,373300,393400,407300,435700,457600,480500,503000,526800,556400,576100,601300,627400,653100,680800,707600,735700,764100,793700,829000,853600,890400,915400,981800,989000,1.0128e+06,1.0526e+06,1.0882e+06,1.1212e+06,1.1564e+06,1.1924e+06,1.2285e+06,1.2659e+06,1.3049e+06,1.3462e+06,1.3827e+06,1.4209e+06,1.4643e+06,1.4978e+06,1.5447e+06,1.5864e+06,1.6222e+06,1.8279e+06,1.6354e+06,1.7377e+06,1.7942e+06,1.8484e+06,1.8913e+06,1.9426e+06,1.9923e+06,2.0822e+06,2.2563e+06,2.2245e+06,2.183e+06,2.7748e+06,2.7838e+06,2.8971e+06,2.9695e+06,3.0409e+06,2.8794e+06,2.742e+06,2.7694e+06,2.7576e+06,2.8001e+06,2.7962e+06
827,700,1700,3200,5000,7400,10200,13600,17500,21900,26900,32500,38400,35500,53500,60000,74600,91700,85400,95400,105500,116400,127700,139700,152200,175400,179000,193300,216400,216700,267200,255500,279600,289900,315300,326700,352800,372700,385800,413800,435900,457200,480400,495600,526700,550200,575200,600400,626700,663100,683000,707100,734800,770200,792800,823000,865900,884200,921500,946700,985400,1.019e+06,1.0363e+06,1.0459e+06,1.1149e+06,1.1562e+06,1.2167e+06,1.2345e+06,1.2654e+06,1.3024e+06,1.3405e+06,1.3799e+06,1.4121e+06,1.5533e+06,1.5779e+06,1.7387e+06,1.6807e+06,1.703e+06,1.7327e+06,1.7145e+06,1.7584e+06,1.8069e+06,1.8449e+06,1.9022e+06,1.9362e+06,1.9821e+06,2.0295e+06,2.0815e+06,2.1371e+06,2.1793e+06,2.2289e+06,2.2784e+06,2.3286e+06,2.3853e+06,2.7993e+06,2.5322e+06,2.9535e+06,3.0711e+06,3.5834e+06,3.2587e+06,3.2447e+06
828,1200,1600,3400,5500,9300,13200,16600,21900,27400,33500,40500,48000,32100,44000,55100,69200,77800,87000,96800,123000,116800,128200,139900,161100,165200,179000,200600,207800,230200,239100,255600,272500,290100,308100,333800,345900,372400,397900,465100,462200,450500,490000,620200,661000,690600,720900,753000,784600,772500,851400,885800,879000,976900,935000,1.0309e+06,1.0679e+06,1.1075e+06,1.1157e+06,1.1825e+06,1.2084e+06,1.2461e+06,1.287e+06,1.0302e+06,1.1624e+06,1.2616e+06,1.3489e+06,1.3685e+06,1.3818e+06,1.4914e+06,1.4504e+06,1.6532e+06,1.5916e+06,1.4597e+06,1.5058e+06,1.5402e+06,1.6022e+06,1.8258e+06,1.9076e+06,1.6489e+06,1.7389e+06,1.7825e+06,1.8615e+06,1.8965e+06,1.9445e+06,2.4825e+06,2.4776e+06,2.412e+06,2.3706e+06,2.5405e+06,2.5643e+06,2.6683e+06,2.6498e+06,2.6949e+06,2.8447e+06,2.9132e+06,2.9476e+06,2.9958e+06,3.2125e+06,3.2806e+06,3.174e+06
829,700,1800,3300,5100,7400,10100,13700,17400,22000,26900,32700,38500,44900,51800,59300,67400,76100,85200,95100,105400,116300,127700,139700,152200,172200,179000,193100,214900,223200,246000,255500,279300,289900,315300,326600,353100,367500,385900,414400,436900,468300,472700,502600,526200,550900,575400,749600,627500,653400,680400,708200,735700,770900,793300,829200,865800,892900,921900,947600,986800,1.0218e+06,1.0477e+06,1.0882e+06,1.1231e+06,1.1573e+06,1.1494e+06,1.2568e+06,1.2665e+06,1.3043e+06,1.4595e+06,1.3832e+06,1.4258e+06,1.4593e+06,1.5057e+06,1.5431e+06,1.7182e+06,1.6324e+06,1.6817e+06,1.7239e+06,1.7671e+06,1.8114e+06,1.8573e+06,1.8926e+06,1.9384e+06,1.9842e+06,2.0398e+06,2.0793e+06,2.2065e+06,2.1934e+06,2.2341e+06,2.2814e+06,2.3309e+06,2.3813e+06,2.8756e+06,2.4956e+06,2.5474e+06,2.6195e+06,2.6541e+06,2.7129e+06,2.7665e+06
830,1000,2300,4000,5500,8200,11200,18000,23000,28500,34700,45200,39600,46200,53200,59700,67800,76100,85400,95100,105400,125000,127700,139900,152200,184400,179600,193200,207900,223100,239800,255400,272500,297900,315000,326600,353100,365500,398100,387600,442800,467400,488200,512100,529700,551300,575100,603700,627200,652800,680000,707100,741800,763800,794900,829300,852900,889700,915500,953000,989600,1.0037e+06,1.0951e+06,1.2184e+06,1.1199e+06,1.1654e+06,1.2063e+06,1.3244e+06,1.3882e+06,1.3695e+06,1.3514e+06,1.3872e+06,1.4186e+06,1.4576e+06,1.506e+06,1.5524e+06,1.5801e+06,1.6288e+06,1.6711e+06,1.7141e+06,1.7582e+06,1.8037e+06,1.9478e+06,1.8938e+06,1.9369e+06,2.271e+06,2.39e+06,2.3076e+06,2.127e+06,2.1822e+06,2.2303e+06,2.1092e+06,2.3319e+06,2.3808e+06,2.4322e+06,2.5193e+06,2.9392e+06,3.0048e+06,3.0998e+06,3.0115e+06,3.2762e+06
831,800,2400,3300,5200,7600,10400,13800,17600,22100,27100,32700,52900,44800,51800,46100,67700,76100,97600,95100,105300,116200,127500,148100,152300,165300,186400,193100,207900,230300,239200,262600,272400,297100,308000,333700,355600,365500,392800,413800,428200,457800,470400,506600,526300,550700,583000,600700,626500,652600,679500,713300,734900,763800,798900,822300,852800,893000,927900,948500,980300,1.02e+06,1.0531e+06,1.0872e+06,1.1157e+06,1.151e+06,1.3982e+06,1.501e+06,1.585e+06,1.6317e+06,1.6543e+06,1.6956e+06,1.7211e+06,1.7778e+06,1.9293e+06,1.8666e+06,2.1743e+06,1.9834e+06,2.0151e+06,2.083e+06,2.2535e+06,2.2973e+06,2.0641e+06,2.2484e+06,2.4351e+06,2.5789e+06,2.5755e+06,2.5353e+06,2.6435e+06,2.7267e+06,2.8038e+06,2.8903e+06,2.9323e+06,3.0294e+06,2.958e+06,3.1575e+06,3.1332e+06,3.2499e+06,3.3338e+06,3.3839e+06,3.5701e+06
832,800,3200,3900,5300,7700,11000,14200,17800,22300,27100,32600,38500,45000,51900,61500,67700,95000,85900,96800,107100,116900,142300,139800,152200,174200,178900,193200,215000,223200,246100,255500,339100,302500,319700,338900,345900,372800,393000,406600,430300,451400,483100,504700,528000,552400,577000,602500,630000,654600,681100,731000,742900,764400,792700,828600,858200,889700,924600,947600,985800,1.0187e+06,1.0469e+06,1.0866e+06,1.1217e+06,1.1579e+06,1.1915e+06,1.2426e+06,1.266e+06,1.3093e+06,1.3406e+06,1.3796e+06,1.4243e+06,1.4581e+06,1.5041e+06,1.5388e+06,1.613e+06,1.6276e+06,1.6644e+06,1.7137e+06,1.7573e+06,1.8008e+06,1.8639e+06,1.9031e+06,1.9386e+06,1.9909e+06,2.0386e+06,2.0806e+06,2.1359e+06,2.3121e+06,2.5547e+06,2.648e+06,2.7094e+06,2.9681e+06,3.0546e+06,3.1185e+06,3.2214e+06,3.2838e+06,3.1831e+06,3.2848e+06,3.1334e+06
